idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
679,9815,57,571.39,245,571.39,3.868632089,28.76710174,4.433492315,36.92455026,129.2446499
680,9058,99,1961.13,103,1961.13,5.812686872,42.88398389,6.824454946,84.34696567,86.01873987
681,9995,65,596.63,190,596.63,4.69766119,35.6161427,2.544835626,31.75143842,106.4359433
682,8351,62,774.01,110,774.01,4.091842125,30.6163331,4.986442079,47.28982549,122.1943527
683,7062,51,328.08,166,328.08,4.0447496,27.89331606,3.886476103,20.27814033,123.6170467
684,9634,59,707.87,85,707.87,4.270241435,30.01775801,6.458264255,41.44203617,117.0893983
685,9102,50,448.29,NA,448.29,NA,NA,NA,28.2185389,125.8941261
686,9993,87,1161.99,74,1161.99,4.85523331,39.64643742,2.584633424,59.83183123,102.9816629
687,7255,57,359.71,259,359.71,3.756893131,26.48158512,4.418993325,23.93666704,133.0886939
688,9625,58,203.16,145,203.16,3.589520793,24.63221677,3.389887514,14.14952104,139.2943596
689,9544,40,82.12,113,82.12,2.441296612,16.44527458,5.469325884,8.40946565,204.8091975
69,7207,63,393.42,243,393.42,4.169712963,31.58909295,2.207046375,23.58795458,119.9123308
690,1066,121,2667.18,NA,2667.18,NA,NA,NA,161.3681162,121.0027941
691,7192,57,742.16,112,742.16,3.487538107,28.31925398,3.86348735,53.20085238,143.3676091
692,9567,83,1119.45,188,1119.45,3.995889099,31.16450659,5.57909437,70.03760441,125.1285978
693,9581,81,1223.46,82,1223.46,4.882467318,35.81046067,6.159740986,62.64558061,102.4072395
695,6086,80,1001.33,72,1001.33,5.35684469,37.79856353,5.552066794,46.7313343,93.33852835
697,6180,47,170.04,162,170.04,3.762460095,23.06779966,5.115532078,11.2984587,132.8917749
698,9743,65,804.75,219,804.75,4.665232392,32.36421399,6.609314615,43.12486134,107.175797
699,7206,43,203.24,142,203.24,3.584662309,22.98825969,5.284383843,14.17427797,139.4831526
7,9985,60,520.4,174,520.4,4.44477905,33.52389086,2.604144128,29.27029635,112.4915309
70,265,46,132.63,120,132.63,4.417045132,24.21318769,5.106411254,7.506715238,113.1978472
700,9586,84,1084.74,107,1084.74,5.113223836,35.4610335,7.409722886,53.03601185,97.78566634
701,9522,39,39.93,95,39.93,4.90197536,18.43370584,6.061794133,2.036423945,101.9996967
703,9529,47,357.65,140,357.65,4.141389985,25.57105818,8.139039007,21.58997349,120.7324115
704,9966,68,1472.56,72,1472.56,4.346517077,34.31991638,5.450916644,84.69770013,115.0346337
705,5784,85,1079.04,107,1079.04,5.547179087,40.32609165,4.538844381,48.63012277,90.13590371
706,10011,53,390.9,120,390.9,4.464702891,29.23787239,5.187293346,21.88835459,111.9895349
707,9632,55,610.94,94,610.94,3.850677519,28.32342451,5.1963849,39.66444847,129.8472795
708,6929,48,563.19,141,563.19,3.594212367,26.2732473,6.020939362,39.17339479,139.1125368
