NewLongitude	NewLatitude
75.642112	32.264337
76.165338	32.958496
76.464907	32.891661
76.8	43.3
77	52.3
77.18199	32.4364
78.51	44.2
78.4	30.94
78.125724	30.198739
78.338912	31.630481
78.379867	43.317283
78.938201	44.678244
79.31	50.66
79.48	53.16
79.663704	29.551033
79.81	50.09
80.056936	29.776593
80.3	49
80.25	50.42
80.43	47.98
80.665755	30.347003
80.853001	23.9023589
81.213	53.001
81.6174	52.6234
82.19	47.19
82.214368	50.515404
82.7	50.1
83.285985	28.51694
83.155814	50.271462
83.7	53.3
84.19	53.34
84.18	46.83
84.6666	48.9201
85.166664	52.516665
85.354387	49.17902
88.22	47.73
88.38	47.77
89.81	47.21
90.34	46.75
91.18	29.64
98.63	28.02
103.49799	29.74343
105.12	32.72
106.06	29.82
106.48	29.79
107.21	32.93
107.187	25.85
108.61	27.94
110.72	28.52
110.44	29.41
110.95	31.1
112.11	30.78
112.14	28.5
112.55	28.23
113.98	32.05
114.62	31.17
114.3	26.75
114.86	28.99
114.87	29
115.02	31.28
115.39	31.82
115.93	29.6
115.74	28.74
116.15	26.59
117.18	30.28
116.53	29.87
116.61	28.28
118.18	29.8
117.76	30.62
118.5	32.03
118.83	32.05
118.85	29.8
118.97	30.68
130.4229	33.6187
136.0554408	35.6452443
139.0231	37.902554
140.06195	39.711414
140.5070738	37.560115
